instant,date,season,year,month,hour,holiday,weekday,workingday,weathersit,temp,atemp,humidity,windspeed,casual,registered,count,Usage_Category
4912,2011-07-28,3,0,7,13,0,4,1,1,0.86,0.803,0.47,0.2537,26,126,152,Medium Usage
4913,2011-07-28,3,0,7,14,0,4,1,2,0.84,0.7879,0.49,0.2537,27,111,138,Medium Usage
4914,2011-07-28,3,0,7,15,0,4,1,1,0.86,0.8182,0.5,0.194,22,124,146,Medium Usage
4915,2011-07-28,3,0,7,16,0,4,1,1,0.86,0.803,0.47,0.1642,42,214,256,Medium Usage
4916,2011-07-28,3,0,7,17,0,4,1,1,0.84,0.803,0.53,0.194,45,423,468,Medium Usage
4917,2011-07-28,3,0,7,18,0,4,1,1,0.84,0.8182,0.56,0.2239,55,428,483,Medium Usage
4918,2011-07-28,3,0,7,19,0,4,1,1,0.82,0.803,0.59,0.194,37,285,322,Medium Usage
4919,2011-07-28,3,0,7,20,0,4,1,1,0.8,0.7879,0.63,0.194,41,229,270,Medium Usage
4920,2011-07-28,3,0,7,21,0,4,1,1,0.78,0.7576,0.66,0.2836,31,165,196,Medium Usage
4921,2011-07-28,3,0,7,22,0,4,1,1,0.76,0.7273,0.7,0.2537,25,149,174,Medium Usage
4922,2011-07-28,3,0,7,23,0,4,1,1,0.76,0.7424,0.75,0.194,28,95,123,Medium Usage
4923,2011-07-29,3,0,7,0,0,5,1,1,0.74,0.7121,0.79,0.1642,12,45,57,Low Usage
4924,2011-07-29,3,0,7,1,0,5,1,1,0.74,0.7121,0.79,0.1343,12,22,34,Low Usage
4925,2011-07-29,3,0,7,2,0,5,1,1,0.74,0.7121,0.79,0.0,3,10,13,Low Usage
4926,2011-07-29,3,0,7,3,0,5,1,1,0.74,0.7121,0.79,0.0,2,9,11,Low Usage
4927,2011-07-29,3,0,7,4,0,5,1,1,0.72,0.7121,0.84,0.1343,2,4,6,Low Usage
4928,2011-07-29,3,0,7,5,0,5,1,1,0.72,0.7121,0.84,0.0,4,23,27,Low Usage
4929,2011-07-29,3,0,7,6,0,5,1,2,0.72,0.7121,0.84,0.0,7,83,90,Low Usage
4930,2011-07-29,3,0,7,7,0,5,1,2,0.74,0.7121,0.79,0.0896,26,228,254,Medium Usage
4931,2011-07-29,3,0,7,8,0,5,1,2,0.76,0.7727,0.77,0.0,30,354,384,Medium Usage
4932,2011-07-29,3,0,7,9,0,5,1,1,0.86,0.803,0.47,0.2537,28,151,179,Medium Usage
4933,2011-07-29,3,0,7,10,0,5,1,1,0.9,0.8485,0.42,0.2836,37,69,106,Medium Usage
4934,2011-07-29,3,0,7,11,0,5,1,1,0.92,0.8788,0.4,0.2985,43,118,161,Medium Usage
4935,2011-07-29,3,0,7,12,0,5,1,1,0.96,0.8636,0.31,0.2836,40,95,135,Medium Usage
4936,2011-07-29,3,0,7,13,0,5,1,1,0.94,0.8333,0.31,0.0,42,114,156,Medium Usage
4937,2011-07-29,3,0,7,14,0,5,1,1,0.96,0.8636,0.3,0.2239,34,114,148,Medium Usage
4938,2011-07-29,3,0,7,15,0,5,1,1,0.96,0.8636,0.3,0.2537,40,129,169,Medium Usage
4939,2011-07-29,3,0,7,16,0,5,1,1,0.96,0.8636,0.3,0.3881,35,198,233,Medium Usage
4940,2011-07-29,3,0,7,17,0,5,1,1,0.96,0.8636,0.3,0.2985,47,374,421,Medium Usage
4941,2011-07-29,3,0,7,18,0,5,1,1,0.92,0.8636,0.37,0.3284,49,313,362,Medium Usage
4942,2011-07-29,3,0,7,19,0,5,1,1,0.9,0.8485,0.42,0.2239,22,219,241,Medium Usage
4943,2011-07-29,3,0,7,20,0,5,1,1,0.86,0.7879,0.41,0.3284,53,153,206,Medium Usage
4944,2011-07-29,3,0,7,21,0,5,1,1,0.82,0.7576,0.46,0.1642,29,134,163,Medium Usage
4945,2011-07-29,3,0,7,22,0,5,1,1,0.8,0.7424,0.49,0.2239,47,127,174,Medium Usage
4946,2011-07-29,3,0,7,23,0,5,1,1,0.78,0.7121,0.52,0.1045,26,90,116,Medium Usage
4947,2011-07-30,3,0,7,0,0,6,0,1,0.76,0.697,0.55,0.194,60,73,133,Medium Usage
4948,2011-07-30,3,0,7,1,0,6,0,1,0.76,0.697,0.55,0.0896,15,75,90,Low Usage
4949,2011-07-30,3,0,7,2,0,6,0,1,0.76,0.697,0.55,0.1045,11,31,42,Low Usage
4950,2011-07-30,3,0,7,3,0,6,0,1,0.74,0.6818,0.62,0.1642,18,25,43,Low Usage
4951,2011-07-30,3,0,7,4,0,6,0,1,0.72,0.6818,0.66,0.1642,4,6,10,Low Usage
4952,2011-07-30,3,0,7,5,0,6,0,1,0.72,0.6818,0.7,0.2836,4,9,13,Low Usage
4953,2011-07-30,3,0,7,6,0,6,0,1,0.72,0.6818,0.7,0.2985,6,18,24,Low Usage
4954,2011-07-30,3,0,7,7,0,6,0,1,0.76,0.7273,0.66,0.194,3,39,42,Low Usage
4955,2011-07-30,3,0,7,8,0,6,0,1,0.78,0.7424,0.59,0.2239,27,87,114,Medium Usage
4956,2011-07-30,3,0,7,9,0,6,0,1,0.82,0.7576,0.46,0.2985,49,125,174,Medium Usage
4957,2011-07-30,3,0,7,10,0,6,0,1,0.82,0.7424,0.41,0.2985,79,182,261,Medium Usage
4958,2011-07-30,3,0,7,11,0,6,0,1,0.84,0.7424,0.36,0.194,111,206,317,Medium Usage
4959,2011-07-30,3,0,7,12,0,6,0,1,0.84,0.7273,0.32,0.1642,111,230,341,Medium Usage
4960,2011-07-30,3,0,7,13,0,6,0,1,0.88,0.7576,0.29,0.0,125,183,308,Medium Usage
4961,2011-07-30,3,0,7,14,0,6,0,1,0.9,0.7879,0.29,0.0,112,193,305,Medium Usage
4962,2011-07-30,3,0,7,15,0,6,0,1,0.9,0.803,0.31,0.1343,113,189,302,Medium Usage
4963,2011-07-30,3,0,7,16,0,6,0,1,0.9,0.7879,0.27,0.2239,126,176,302,Medium Usage
4964,2011-07-30,3,0,7,17,0,6,0,1,0.9,0.7879,0.29,0.1045,93,209,302,Medium Usage
4965,2011-07-30,3,0,7,18,0,6,0,1,0.88,0.7576,0.28,0.194,92,207,299,Medium Usage
4966,2011-07-30,3,0,7,19,0,6,0,1,0.74,0.6515,0.33,0.2239,101,155,256,Medium Usage
4967,2011-07-30,3,0,7,20,0,6,0,1,0.82,0.7424,0.43,0.1343,74,132,206,Medium Usage
4968,2011-07-30,3,0,7,21,0,6,0,1,0.8,0.7424,0.49,0.1642,82,123,205,Medium Usage
4969,2011-07-30,3,0,7,22,0,6,0,1,0.78,0.7121,0.52,0.1045,80,129,209,Medium Usage
4970,2011-07-30,3,0,7,23,0,6,0,1,0.76,0.697,0.55,0.0896,63,114,177,Medium Usage
4971,2011-07-31,3,0,7,0,0,0,0,1,0.76,0.697,0.55,0.0896,33,80,113,Medium Usage
4972,2011-07-31,3,0,7,1,0,0,0,1,0.74,0.6818,0.62,0.0896,8,71,79,Low Usage
4973,2011-07-31,3,0,7,2,0,0,0,1,0.74,0.697,0.66,0.0896,19,48,67,Low Usage
4974,2011-07-31,3,0,7,3,0,0,0,1,0.74,0.697,0.66,0.0,24,26,50,Low Usage
4975,2011-07-31,3,0,7,4,0,0,0,1,0.72,0.6818,0.7,0.0,6,7,13,Low Usage
4976,2011-07-31,3,0,7,5,0,0,0,1,0.72,0.6818,0.69,0.0,4,4,8,Low Usage
4977,2011-07-31,3,0,7,6,0,0,0,1,0.74,0.697,0.7,0.0,5,8,13,Low Usage
4978,2011-07-31,3,0,7,7,0,0,0,1,0.74,0.6818,0.58,0.1343,19,26,45,Low Usage
4979,2011-07-31,3,0,7,8,0,0,0,1,0.76,0.697,0.55,0.2239,54,88,142,Medium Usage
4980,2011-07-31,3,0,7,9,0,0,0,1,0.8,0.7424,0.49,0.0,55,128,183,Medium Usage
4981,2011-07-31,3,0,7,10,0,0,0,1,0.84,0.7424,0.36,0.1642,91,163,254,Medium Usage
4982,2011-07-31,3,0,7,11,0,0,0,1,0.86,0.7424,0.28,0.1642,112,163,275,Medium Usage
4983,2011-07-31,3,0,7,12,0,0,0,1,0.9,0.7727,0.25,0.194,146,192,338,Medium Usage
4984,2011-07-31,3,0,7,13,0,0,0,1,0.9,0.7727,0.24,0.1343,142,152,294,Medium Usage
4985,2011-07-31,3,0,7,14,0,0,0,1,0.9,0.7727,0.24,0.1642,130,196,326,Medium Usage
4986,2011-07-31,3,0,7,15,0,0,0,1,0.92,0.7727,0.18,0.2985,109,184,293,Medium Usage
4987,2011-07-31,3,0,7,16,0,0,0,1,0.92,0.7727,0.17,0.2836,98,208,306,Medium Usage
4988,2011-07-31,3,0,7,17,0,0,0,1,0.92,0.7727,0.16,0.1642,114,206,320,Medium Usage
4989,2011-07-31,3,0,7,18,0,0,0,1,0.86,0.7879,0.41,0.2836,91,213,304,Medium Usage
4990,2011-07-31,3,0,7,19,0,0,0,1,0.8,0.7576,0.55,0.3284,87,187,274,Medium Usage
4991,2011-07-31,3,0,7,20,0,0,0,1,0.8,0.7576,0.55,0.3284,70,205,275,Medium Usage
4992,2011-07-31,3,0,7,21,0,0,0,1,0.78,0.7424,0.59,0.2985,68,96,164,Medium Usage
4993,2011-07-31,3,0,7,22,0,0,0,1,0.74,0.697,0.7,0.2985,25,71,96,Low Usage
4994,2011-07-31,3,0,7,23,0,0,0,1,0.74,0.697,0.66,0.2239,14,56,70,Low Usage
4995,2011-08-01,3,0,8,0,0,1,1,1,0.72,0.6818,0.7,0.2239,7,22,29,Low Usage
4996,2011-08-01,3,0,8,1,0,1,1,1,0.72,0.697,0.74,0.194,5,12,17,Low Usage
4997,2011-08-01,3,0,8,2,0,1,1,1,0.7,0.6667,0.74,0.1045,4,7,11,Low Usage
4998,2011-08-01,3,0,8,3,0,1,1,1,0.7,0.6667,0.79,0.1642,0,4,4,Low Usage
4999,2011-08-01,3,0,8,4,0,1,1,1,0.66,0.6061,0.83,0.1343,2,2,4,Low Usage
5000,2011-08-01,3,0,8,5,0,1,1,1,0.66,0.6061,0.83,0.1045,2,24,26,Low Usage
5001,2011-08-01,3,0,8,6,0,1,1,1,0.66,0.6061,0.83,0.0896,3,97,100,Low Usage
5002,2011-08-01,3,0,8,7,0,1,1,1,0.74,0.6818,0.62,0.0,24,258,282,Medium Usage
5003,2011-08-01,3,0,8,8,0,1,1,1,0.8,0.7273,0.43,0.194,35,347,382,Medium Usage
5004,2011-08-01,3,0,8,9,0,1,1,1,0.82,0.7424,0.41,0.0,27,139,166,Medium Usage
5005,2011-08-01,3,0,8,10,0,1,1,1,0.86,0.7576,0.36,0.1642,27,70,97,Low Usage
5006,2011-08-01,3,0,8,11,0,1,1,1,0.88,0.7727,0.32,0.1642,53,66,119,Medium Usage
5007,2011-08-01,3,0,8,12,0,1,1,1,0.9,0.803,0.33,0.2537,53,115,168,Medium Usage
5008,2011-08-01,3,0,8,13,0,1,1,1,0.9,0.803,0.31,0.2985,38,112,150,Medium Usage
5009,2011-08-01,3,0,8,14,0,1,1,1,0.92,0.8182,0.29,0.194,37,86,123,Medium Usage
5010,2011-08-01,3,0,8,15,0,1,1,1,0.9,0.7879,0.27,0.0,52,77,129,Medium Usage
5011,2011-08-01,3,0,8,16,0,1,1,1,0.9,0.7879,0.27,0.0,34,197,231,Medium Usage
5012,2011-08-01,3,0,8,17,0,1,1,1,0.76,0.6818,0.45,0.2985,69,445,514,High Usage
5013,2011-08-01,3,0,8,18,0,1,1,1,0.78,0.697,0.43,0.194,68,475,543,High Usage
5014,2011-08-01,3,0,8,19,0,1,1,1,0.74,0.6667,0.51,0.2239,63,350,413,Medium Usage
5015,2011-08-01,3,0,8,20,0,1,1,1,0.72,0.6818,0.62,0.2239,49,256,305,Medium Usage
5016,2011-08-01,3,0,8,21,0,1,1,1,0.7,0.6515,0.7,0.2537,42,178,220,Medium Usage
5017,2011-08-01,3,0,8,22,0,1,1,1,0.7,0.6515,0.7,0.0896,21,116,137,Medium Usage
5018,2011-08-01,3,0,8,23,0,1,1,1,0.68,0.6364,0.74,0.194,14,82,96,Low Usage
5019,2011-08-02,3,0,8,0,0,2,1,1,0.66,0.6212,0.74,0.0,11,18,29,Low Usage
5020,2011-08-02,3,0,8,1,0,2,1,1,0.66,0.6212,0.74,0.1045,4,8,12,Low Usage
5021,2011-08-02,3,0,8,2,0,2,1,1,0.68,0.6364,0.69,0.0,2,6,8,Low Usage
5022,2011-08-02,3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5,Low Usage
5023,2011-08-02,3,0,8,4,0,2,1,1,0.66,0.6212,0.74,0.1045,0,10,10,Low Usage
5024,2011-08-02,3,0,8,5,0,2,1,1,0.66,0.6212,0.74,0.1343,4,17,21,Low Usage
5025,2011-08-02,3,0,8,6,0,2,1,1,0.68,0.6364,0.69,0.1045,12,105,117,Medium Usage
5026,2011-08-02,3,0,8,7,0,2,1,1,0.72,0.6667,0.61,0.2836,15,320,335,Medium Usage
5027,2011-08-02,3,0,8,8,0,2,1,1,0.74,0.6818,0.58,0.2836,37,398,435,Medium Usage
5028,2011-08-02,3,0,8,9,0,2,1,1,0.78,0.697,0.46,0.2985,31,182,213,Medium Usage
5029,2011-08-02,3,0,8,10,0,2,1,1,0.82,0.7273,0.36,0.2985,50,90,140,Medium Usage
5030,2011-08-02,3,0,8,11,0,2,1,1,0.84,0.7273,0.32,0.4179,32,96,128,Medium Usage
5031,2011-08-02,3,0,8,12,0,2,1,1,0.86,0.7424,0.3,0.2836,45,112,157,Medium Usage
5032,2011-08-02,3,0,8,13,0,2,1,1,0.86,0.7424,0.3,0.2239,50,153,203,Medium Usage
5033,2011-08-02,3,0,8,14,0,2,1,1,0.9,0.7727,0.25,0.2836,45,114,159,Medium Usage
5034,2011-08-02,3,0,8,15,0,2,1,1,0.9,0.7727,0.25,0.2836,48,120,168,Medium Usage
5035,2011-08-02,3,0,8,16,0,2,1,1,0.9,0.7727,0.25,0.2836,58,216,274,Medium Usage
5036,2011-08-02,3,0,8,17,0,2,1,2,0.9,0.7879,0.27,0.1343,63,493,556,High Usage
5037,2011-08-02,3,0,8,18,0,2,1,2,0.86,0.7576,0.34,0.194,65,491,556,High Usage
5038,2011-08-02,3,0,8,19,0,2,1,2,0.86,0.7576,0.36,0.2239,85,369,454,Medium Usage
5039,2011-08-02,3,0,8,20,0,2,1,2,0.82,0.7576,0.46,0.2537,40,248,288,Medium Usage
5040,2011-08-02,3,0,8,21,0,2,1,1,0.8,0.7424,0.52,0.2239,53,201,254,Medium Usage
5041,2011-08-02,3,0,8,22,0,2,1,2,0.78,0.7424,0.59,0.1642,22,169,191,Medium Usage
5042,2011-08-02,3,0,8,23,0,2,1,2,0.8,0.7424,0.49,0.1642,29,103,132,Medium Usage
5043,2011-08-03,3,0,8,0,0,3,1,2,0.8,0.7424,0.49,0.1642,11,32,43,Low Usage
5044,2011-08-03,3,0,8,1,0,3,1,2,0.78,0.7121,0.52,0.1642,7,9,16,Low Usage
5045,2011-08-03,3,0,8,2,0,3,1,2,0.78,0.7121,0.49,0.1642,2,9,11,Low Usage
5046,2011-08-03,3,0,8,3,0,3,1,2,0.76,0.697,0.55,0.0896,0,4,4,Low Usage
5047,2011-08-03,3,0,8,4,0,3,1,2,0.76,0.697,0.52,0.1642,0,7,7,Low Usage
5048,2011-08-03,3,0,8,5,0,3,1,2,0.76,0.697,0.55,0.0896,2,22,24,Low Usage
5049,2011-08-03,3,0,8,6,0,3,1,3,0.72,0.6818,0.66,0.4925,9,101,110,Medium Usage
5050,2011-08-03,3,0,8,7,0,3,1,2,0.74,0.6667,0.51,0.2239,19,252,271,Medium Usage
5051,2011-08-03,3,0,8,8,0,3,1,2,0.74,0.6667,0.51,0.1642,29,408,437,Medium Usage
5052,2011-08-03,3,0,8,9,0,3,1,2,0.74,0.6818,0.55,0.194,23,172,195,Medium Usage
5053,2011-08-03,3,0,8,10,0,3,1,3,0.74,0.6818,0.58,0.0896,9,59,68,Low Usage
5054,2011-08-03,3,0,8,11,0,3,1,2,0.74,0.6818,0.58,0.1045,29,93,122,Medium Usage
5055,2011-08-03,3,0,8,12,0,3,1,3,0.76,0.697,0.55,0.1343,19,142,161,Medium Usage
5056,2011-08-03,3,0,8,13,0,3,1,2,0.76,0.7121,0.58,0.2239,37,107,144,Medium Usage
5057,2011-08-03,3,0,8,14,0,3,1,2,0.76,0.7121,0.58,0.2239,43,104,147,Medium Usage
5058,2011-08-03,3,0,8,15,0,3,1,2,0.7,0.6667,0.79,0.1343,31,87,118,Medium Usage
5059,2011-08-03,3,0,8,16,0,3,1,3,0.68,0.6364,0.79,0.0,21,129,150,Medium Usage
5060,2011-08-03,3,0,8,17,0,3,1,2,0.7,0.6667,0.79,0.0,47,378,425,Medium Usage
5061,2011-08-03,3,0,8,18,0,3,1,3,0.7,0.6667,0.84,0.0,49,443,492,Medium Usage
5062,2011-08-03,3,0,8,19,0,3,1,3,0.7,0.6667,0.84,0.0,51,270,321,Medium Usage
5063,2011-08-03,3,0,8,20,0,3,1,3,0.7,0.6667,0.84,0.1045,7,80,87,Low Usage
5064,2011-08-03,3,0,8,21,0,3,1,2,0.68,0.6364,0.89,0.1343,7,81,88,Low Usage
5065,2011-08-03,3,0,8,22,0,3,1,3,0.68,0.6364,0.89,0.1045,11,66,77,Low Usage
5066,2011-08-03,3,0,8,23,0,3,1,2,0.68,0.6364,0.89,0.0896,4,52,56,Low Usage
5067,2011-08-04,3,0,8,0,0,4,1,2,0.68,0.6364,0.89,0.0896,2,15,17,Low Usage
5068,2011-08-04,3,0,8,1,0,4,1,2,0.66,0.5909,0.94,0.0896,3,14,17,Low Usage
5069,2011-08-04,3,0,8,2,0,4,1,2,0.66,0.5909,0.94,0.0896,2,5,7,Low Usage
5070,2011-08-04,3,0,8,3,0,4,1,3,0.66,0.5909,0.94,0.0896,0,3,3,Low Usage
5071,2011-08-04,3,0,8,4,0,4,1,2,0.68,0.6364,0.89,0.0,0,7,7,Low Usage
5072,2011-08-04,3,0,8,5,0,4,1,2,0.68,0.6364,0.89,0.0,3,17,20,Low Usage
5073,2011-08-04,3,0,8,6,0,4,1,2,0.68,0.6364,0.89,0.2985,7,90,97,Low Usage
5074,2011-08-04,3,0,8,7,0,4,1,2,0.68,0.6364,0.89,0.2985,11,271,282,Medium Usage
5075,2011-08-04,3,0,8,8,0,4,1,2,0.7,0.6515,0.82,0.3582,29,369,398,Medium Usage
5076,2011-08-04,3,0,8,9,0,4,1,1,0.72,0.697,0.74,0.3284,25,162,187,Medium Usage
5077,2011-08-04,3,0,8,10,0,4,1,1,0.72,0.6667,0.71,0.2985,24,89,113,Medium Usage
5078,2011-08-04,3,0,8,11,0,4,1,2,0.74,0.697,0.66,0.2239,37,112,149,Medium Usage
5079,2011-08-04,3,0,8,12,0,4,1,2,0.76,0.7121,0.62,0.2239,53,152,205,Medium Usage
5080,2011-08-04,3,0,8,13,0,4,1,1,0.76,0.7121,0.58,0.0,63,142,205,Medium Usage
5081,2011-08-04,3,0,8,14,0,4,1,1,0.8,0.7576,0.55,0.1642,53,114,167,Medium Usage
5082,2011-08-04,3,0,8,15,0,4,1,1,0.8,0.7576,0.55,0.2537,50,115,165,Medium Usage
5083,2011-08-04,3,0,8,16,0,4,1,1,0.76,0.7121,0.62,0.3284,70,220,290,Medium Usage
5084,2011-08-04,3,0,8,17,0,4,1,1,0.76,0.7121,0.62,0.3284,91,464,555,High Usage
5085,2011-08-04,3,0,8,18,0,4,1,1,0.7,0.6667,0.74,0.2985,88,435,523,High Usage
5086,2011-08-04,3,0,8,19,0,4,1,1,0.7,0.6667,0.74,0.2836,65,301,366,Medium Usage
5087,2011-08-04,3,0,8,20,0,4,1,2,0.7,0.6667,0.74,0.194,41,245,286,Medium Usage
5088,2011-08-04,3,0,8,21,0,4,1,2,0.7,0.6667,0.74,0.194,25,186,211,Medium Usage
5089,2011-08-04,3,0,8,22,0,4,1,1,0.68,0.6364,0.74,0.194,33,141,174,Medium Usage
5090,2011-08-04,3,0,8,23,0,4,1,1,0.66,0.6212,0.74,0.1045,24,108,132,Medium Usage
5091,2011-08-05,3,0,8,0,0,5,1,1,0.66,0.6212,0.74,0.1045,13,41,54,Low Usage
5092,2011-08-05,3,0,8,1,0,5,1,1,0.64,0.5909,0.78,0.0896,3,16,19,Low Usage
5093,2011-08-05,3,0,8,2,0,5,1,1,0.66,0.6212,0.69,0.0,5,14,19,Low Usage
5094,2011-08-05,3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0.0896,0,6,6,Low Usage
5095,2011-08-05,3,0,8,4,0,5,1,1,0.64,0.5909,0.78,0.1343,1,6,7,Low Usage
5096,2011-08-05,3,0,8,5,0,5,1,1,0.64,0.5909,0.78,0.0896,0,16,16,Low Usage
5097,2011-08-05,3,0,8,6,0,5,1,1,0.64,0.5909,0.78,0.1343,7,94,101,Medium Usage
5098,2011-08-05,3,0,8,7,0,5,1,1,0.66,0.6061,0.78,0.1343,23,247,270,Medium Usage
5099,2011-08-05,3,0,8,8,0,5,1,1,0.7,0.6515,0.65,0.2239,39,415,454,Medium Usage
5100,2011-08-05,3,0,8,9,0,5,1,1,0.72,0.6667,0.58,0.1045,43,183,226,Medium Usage
5101,2011-08-05,3,0,8,10,0,5,1,1,0.74,0.6818,0.55,0.1343,50,113,163,Medium Usage
5102,2011-08-05,3,0,8,11,0,5,1,2,0.76,0.697,0.52,0.2537,44,103,147,Medium Usage
5103,2011-08-05,3,0,8,12,0,5,1,1,0.76,0.697,0.52,0.2537,57,159,216,Medium Usage
5104,2011-08-05,3,0,8,13,0,5,1,1,0.78,0.7121,0.52,0.2537,40,164,204,Medium Usage
5105,2011-08-05,3,0,8,14,0,5,1,2,0.78,0.7121,0.52,0.2537,81,164,245,Medium Usage
5106,2011-08-05,3,0,8,15,0,5,1,1,0.76,0.697,0.55,0.2537,50,160,210,Medium Usage
5107,2011-08-05,3,0,8,16,0,5,1,1,0.8,0.7424,0.49,0.2537,76,254,330,Medium Usage
5108,2011-08-05,3,0,8,17,0,5,1,1,0.78,0.7121,0.49,0.2985,84,466,550,High Usage
5109,2011-08-05,3,0,8,18,0,5,1,1,0.76,0.697,0.52,0.2537,105,361,466,Medium Usage
5110,2011-08-05,3,0,8,19,0,5,1,1,0.74,0.6818,0.55,0.2537,90,282,372,Medium Usage
5111,2011-08-05,3,0,8,20,0,5,1,1,0.72,0.6667,0.58,0.2239,70,221,291,Medium Usage
5112,2011-08-05,3,0,8,21,0,5,1,1,0.7,0.6515,0.65,0.194,54,119,173,Medium Usage
5113,2011-08-05,3,0,8,22,0,5,1,1,0.7,0.6515,0.65,0.2239,51,137,188,Medium Usage
5114,2011-08-05,3,0,8,23,0,5,1,1,0.68,0.6364,0.69,0.2239,37,102,139,Medium Usage
5115,2011-08-06,3,0,8,0,0,6,0,1,0.66,0.6061,0.78,0.194,29,104,133,Medium Usage
5116,2011-08-06,3,0,8,1,0,6,0,1,0.66,0.6061,0.78,0.1642,17,50,67,Low Usage
5117,2011-08-06,3,0,8,2,0,6,0,1,0.66,0.6061,0.78,0.2239,14,39,53,Low Usage
5118,2011-08-06,3,0,8,3,0,6,0,2,0.66,0.6061,0.78,0.1642,14,28,42,Low Usage
5119,2011-08-06,3,0,8,4,0,6,0,2,0.66,0.6061,0.83,0.1642,5,5,10,Low Usage
5120,2011-08-06,3,0,8,5,0,6,0,1,0.64,0.5758,0.89,0.0896,2,4,6,Low Usage
5121,2011-08-06,3,0,8,6,0,6,0,1,0.64,0.5758,0.89,0.1045,5,22,27,Low Usage
5122,2011-08-06,3,0,8,7,0,6,0,1,0.68,0.6364,0.83,0.1642,14,49,63,Low Usage
5123,2011-08-06,3,0,8,8,0,6,0,1,0.68,0.6364,0.83,0.1642,27,94,121,Medium Usage
5124,2011-08-06,3,0,8,9,0,6,0,1,0.74,0.697,0.7,0.2239,60,155,215,Medium Usage
5125,2011-08-06,3,0,8,10,0,6,0,2,0.74,0.697,0.7,0.2836,91,199,290,Medium Usage
5126,2011-08-06,3,0,8,11,0,6,0,1,0.78,0.7424,0.62,0.2239,138,211,349,Medium Usage
5127,2011-08-06,3,0,8,12,0,6,0,1,0.8,0.7576,0.55,0.2239,130,252,382,Medium Usage
5128,2011-08-06,3,0,8,13,0,6,0,2,0.8,0.7727,0.59,0.3284,176,265,441,Medium Usage
5129,2011-08-06,3,0,8,14,0,6,0,1,0.82,0.7727,0.52,0.2537,176,204,380,Medium Usage
5130,2011-08-06,3,0,8,15,0,6,0,2,0.84,0.803,0.53,0.2537,130,232,362,Medium Usage
5131,2011-08-06,3,0,8,16,0,6,0,3,0.74,0.7121,0.79,0.1642,155,188,343,Medium Usage
5132,2011-08-06,3,0,8,17,0,6,0,3,0.74,0.7121,0.79,0.1642,61,88,149,Medium Usage
5133,2011-08-06,3,0,8,18,0,6,0,2,0.72,0.697,0.79,0.4478,81,130,211,Medium Usage
5134,2011-08-06,3,0,8,19,0,6,0,3,0.72,0.7121,0.84,0.2537,57,114,171,Medium Usage
5135,2011-08-06,3,0,8,20,0,6,0,3,0.72,0.697,0.79,0.2836,58,79,137,Medium Usage
5136,2011-08-06,3,0,8,21,0,6,0,2,0.7,0.6667,0.84,0.3284,28,86,114,Medium Usage
5137,2011-08-06,3,0,8,22,0,6,0,2,0.7,0.6667,0.84,0.3284,24,96,120,Medium Usage
5138,2011-08-06,3,0,8,23,0,6,0,3,0.7,0.6667,0.84,0.2836,29,79,108,Medium Usage
5139,2011-08-07,3,0,8,0,0,0,0,2,0.7,0.6667,0.84,0.2836,14,66,80,Low Usage
5140,2011-08-07,3,0,8,1,0,0,0,2,0.7,0.6667,0.84,0.2537,10,63,73,Low Usage
5141,2011-08-07,3,0,8,2,0,0,0,2,0.7,0.6667,0.84,0.2239,18,48,66,Low Usage
5142,2011-08-07,3,0,8,3,0,0,0,2,0.7,0.6667,0.84,0.1343,9,23,32,Low Usage
5143,2011-08-07,3,0,8,4,0,0,0,1,0.7,0.6667,0.84,0.1343,1,5,6,Low Usage
5144,2011-08-07,3,0,8,5,0,0,0,1,0.7,0.6667,0.89,0.194,1,4,5,Low Usage
5145,2011-08-07,3,0,8,6,0,0,0,1,0.7,0.6667,0.89,0.1642,3,10,13,Low Usage
5146,2011-08-07,3,0,8,7,0,0,0,1,0.7,0.6667,0.84,0.194,11,28,39,Low Usage
5147,2011-08-07,3,0,8,8,0,0,0,1,0.72,0.697,0.79,0.194,23,66,89,Low Usage
5148,2011-08-07,3,0,8,9,0,0,0,1,0.76,0.7424,0.75,0.1045,82,102,184,Medium Usage
5149,2011-08-07,3,0,8,10,0,0,0,1,0.8,0.803,0.66,0.1343,88,178,266,Medium Usage
5150,2011-08-07,3,0,8,11,0,0,0,1,0.82,0.8333,0.63,0.0,113,156,269,Medium Usage
5151,2011-08-07,3,0,8,12,0,0,0,1,0.9,0.8485,0.42,0.2985,161,209,370,Medium Usage
5152,2011-08-07,3,0,8,13,0,0,0,1,0.9,0.8485,0.42,0.2985,118,206,324,Medium Usage
5153,2011-08-07,3,0,8,14,0,0,0,1,0.86,0.803,0.47,0.194,130,192,322,Medium Usage
5154,2011-08-07,3,0,8,15,0,0,0,3,0.72,0.697,0.74,0.2985,118,208,326,Medium Usage
5155,2011-08-07,3,0,8,16,0,0,0,3,0.72,0.697,0.74,0.2985,74,119,193,Medium Usage
5156,2011-08-07,3,0,8,17,0,0,0,3,0.74,0.7121,0.74,0.6418,63,131,194,Medium Usage
5157,2011-08-07,3,0,8,18,0,0,0,1,0.72,0.697,0.74,0.0896,74,155,229,Medium Usage
5158,2011-08-07,3,0,8,19,0,0,0,1,0.72,0.697,0.79,0.1642,68,160,228,Medium Usage
